strain,sequenced,genome_length_bp,n_small_circular_contigs,n_prophages_depht,n_prophages_html,prophage_names,prophage_lengths,prophage_coords,n_defense_df,n_rm_df,rm_subtypes,df_system_types,df_subtypes,n_defense_padloc,n_rm_padloc,n_rm_dedup,total_defense_systems,assembly_type,species,subspecies,institution,country,eop_phages_tested,eop1_full_count,eop1_fraction,dcc,prophage_clusters,n_prophage_clusters,eop1_phages,eop1_count,eop_partial_phages,eop_partial_count,morphology,morphology_flag,...36,killing_phages,killing_count,killing_flag,phage_susceptible,phage_partial_infection,n_defense_islands,n_defense_island_systems,defense_island_types,defense_island_spots
GD100B,TRUE,5132669,1,2,2,prophiGD100B-1|prophiGD100B-2,69032|50828,1753818-2638595|3884833-3935044,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,Penn Medicine,USA,23,3,0.1304,DCC1,HA|HC,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|Itos,3,NA,0,R,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,3,3,AbiAlpha|Aristaios|CBASS,spot_3|spot_32|spot_49
GD101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Mayo Clinic-Florida,NA,23,0,0,NA,NA,0,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD102,TRUE,5204934,2,2,2,prophiGD102_1-1|prophiGD102_1-2,60696|63235,160571-220147|235498-298284,8,4,RM_I|RM_IIG,AbiAlpha|Armada|RM_Type_I|RM_Type_IIG|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|N6_RM_Type_I|N6_RM_Type_IIG|Thoeris_VII|Wadjet_I,10,1,3,18,NA,M. abscessus,abscessus,"University of Helsinki, Finland",Finland,23,2,0.087,DCC2,HE|HA,2,Muddy|Muddy_HRM-GD04,2,NA,0,R,FALSE,TRUE,Muddy,1,TRUE,TRUE,FALSE,4,6,Armada|RM_Type_I|RM_Type_IIG|Thoeris,spot_22|spot_49|spot_9
GD103,TRUE,5129349,1,0,0,NA,NA,NA,9,4,RM_I|RM_IIG,AbiAlpha|Armada|RM_Type_I|RM_Type_IIG|RloC|Thoeris|Wadjet,AbiAlpha|Armada_Type_II|N6_RM_Type_I|N6_RM_Type_IIG|RloC|Thoeris_VII|Wadjet_I,11,1,3,20,NA,M. abscessus,abscessus,"Alberta Health Services, Canada",NA,25,0,0,DCC2,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,3,5,Armada|RM_Type_IIG|Thoeris,spot_22|spot_54
GD104,TRUE,5097912,0,2,2,prophiGD104_1-1|prophiGD104_14-1,49566|59370,1019654-1068700|180-59314,8,2,RM_I|RM_IIG,AbiAlpha|CBASS|Dag|Lamassu-Fam|Other_Type_IV|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|CBASS_II_Phospholipase|Dag|Lamassu_Cap4|N6_RM_Type_I|N6_RM_Type_IIG|Other_Type_IV|Wadjet_I,13,0,2,21,NA,M. abscessus,massiliense,"Knoxville, TN",USA,25,0,0,DCC7,HC|HA,2,NA,0,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03,2,R,FALSE,FALSE,NA,0,FALSE,FALSE,TRUE,2,2,Lamassu-Fam|RM_Type_I,spot_7
GD105,TRUE,5193504,1,1,1,prophiGD105_4-1,53957,244116-297666,9,0,NA,AbiAlpha|Aristaios|CBASS|DarTG|Dnd|Hna|VP1853|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|DarTG|Dnd_ABCDE|Hna|VP1853|Wadjet_I,12,0,0,21,NA,M. abscessus,abscessus,"Tampa, FL",USA,25,0,0,DCC1,HA,1,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,4,4,AbiAlpha|CBASS|DarTG|VP1853,spot_3
GD106,TRUE,5298299,1,1,1,prophiGD106_1-1,42651,49252-91760,13,4,RM_IIG,AbiAlpha|Armada|BREX|Cas|DRT|PD-T7-2|RM_Type_IIG|RloC|VP1853|Wadjet,AbiAlpha|Armada_Type_II|BREX_I|CAS_Class1-Subtype-IV-B|DRT9|N6_RM_Type_IIG|PD-T7-2|RloC|VP1853|Wadjet_I,22,3,3,35,NA,M. abscessus,abscessus,"Johns Hopkins, MD",USA,25,0,0,Non-DCC,HN,1,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,2,3,Cas|RM_Type_IIG,spot_56
GD107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,University of Kansas Hospital,USA,NA,NA,NA,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD108A,TRUE,5051872,1,1,1,prophiGD108A_1-1,42651,498476-540984,10,2,RM_IIG,AbiAlpha|Armada|BREX|DRT|PD-T7-2|RM_Type_IIG|RloC|VP1853|Wadjet,AbiAlpha|Armada_Type_II|BREX_I|DRT9|N6_RM_Type_IIG|PD-T7-2|RloC|VP1853|Wadjet_I,15,1,1,25,NA,M. abscessus,abscessus,"UT Southwest Medical, Dallas, Texas",NA,25,0,0,Non-DCC,HN,1,NA,0,NA,0,S,FALSE,NA,NA,NA,NA,NA,FALSE,4,6,AbiAlpha|Armada|PD-T7-2|RM_Type_IIG,spot_22|spot_26|spot_32
GD108B,TRUE,5052200,1,1,1,prophiGD108B_2-1,42651,71335-113843,10,2,RM_IIG,AbiAlpha|Armada|BREX|DRT|PD-T7-2|RM_Type_IIG|RloC|VP1853|Wadjet,AbiAlpha|Armada_Type_II|BREX_I|DRT9|N6_RM_Type_IIG|PD-T7-2|RloC|VP1853|Wadjet_I,9,0,1,19,NA,M. abscessus,abscessus,"UT Southwest Medical, Dallas, Texas",NA,25,0,0,Non-DCC,HN,1,NA,0,Faith1|Faith1GD69|Gabriela,3,S,FALSE,NA,NA,NA,NA,NA,TRUE,0,0,NA,NA
GD109,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Saint Joseph Hospital,USA,25,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,NA,NA,FALSE,0,0,NA,NA
GD11,TRUE,5032372,1,3,3,prophiGD11_1-1|prophiGD11_1-2|prophiGD11_3-1,62235|54740|39959,526713-588499|1269095-1323418|489621-528973,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,UPMC Pittsburgh,NA,11,0,0,DCC1,HA|HF|HB,3,NA,0,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03,2,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,3,3,Aristaios|CBASS|Wadjet,spot_3|spot_49
GD110,TRUE,4292141,0,0,0,NA,NA,NA,8,1,RM_IIG|RM_IV,AbiE|Cas|Charlie_gp32|DarTG|Esos|Phrann_gp29_gp30|RM_Type_IIG,AbiE|CAS_Class1-Subtype-III-A|Charlie_gp32|DarTG|Esos|N6_RM_Type_IIG|Phrann_gp29_gp30,18,2,2,26,NA,M. bovis,NA,Great Ormond Street Hospital,NA,NA,NA,NA,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,TRUE,Muddy|D29|Fionnbharth|Fred313,4,TRUE,TRUE,FALSE,0,0,NA,NA
GD111,TRUE,5119720,0,1,1,prophiGD111-1,60432,1673636-1733680,5,1,RM_I,AbiAlpha|Butters_gp57r|RM_Type_I|Wadjet,AbiAlpha|Butters_gp57r|N6_RM_Type_I|Wadjet_I,7,0,1,12,NA,M. abscessus,massiliense,Advocate Aurora Health,USA,25,1,0.04,DCC3,HE,1,Muddy_HRM-GD04,1,Muddy,1,R,FALSE,TRUE,Muddy,1,TRUE,TRUE,TRUE,1,1,Butters_gp57r,spot_46
GD112,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"UT Southwest Medical, Dallas, Texas",NA,25,0,0,NA,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD113A,TRUE,5121854,1,2,2,prophiGD113A-1|prophiGD113A-2,60012|47277,2963068-3022631|4007535-4054280,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,"Barcelona, Spain",NA,25,3,0.12,DCC1,HA|HC,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|phiGD89A-1,3,phiGD21-2,1,R,FALSE,NA,NA,NA,NA,NA,TRUE,1,1,AbiAlpha,spot_32
GD113B,TRUE,5122852,0,2,2,prophiGD113B_1-1|prophiGD113B_3-1,60012|30856,1212556-1272119|770643-800346,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,7,0,0,13,NA,M. abscessus,abscessus,"Barcelona, Spain",NA,25,5,0.2,DCC1,HA|HC,2,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|D29_HRM_GD40|phiGD89A-1|D29,5,Itos|phiGD21-1|phiGD21-2,3,R,FALSE,NA,NA,NA,NA,NA,TRUE,3,3,Aristaios|CBASS|Hna,spot_3|spot_32|spot_49
GD114,TRUE,5397233,0,4,4,prophiGD114-1|prophiGD114-2|prophiGD114-3|prophiGD114-4,108027|61599|42374|49566,1494623-2123721|2062441-2123721|3358831-4372215|4366285-4415703,6,1,RM_IIG,AbiAlpha|CBASS|Dag|RM_Type_IIG|RosmerTA|Wadjet,AbiAlpha|CBASS_II_Phospholipase|Dag|N6_RM_Type_IIG|RosmerTA|Wadjet_I,11,1,1,17,NA,M. abscessus,abscessus,"British Columbia CDC, Canada",NA,25,2,0.08,DCC4,HA|HA|HH|HC,3,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03,2,Fionnbharthdel45del47,1,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,5,5,AbiAlpha|CBASS|Dag|RM_Type_IIG|RosmerTA,spot_19|spot_3|spot_66|spot_69
GD115,TRUE,4789532,0,0,0,NA,NA,NA,4,2,RM_I|RM_IIG,AbiAlpha|RM_Type_I|RM_Type_IIG|Wadjet,AbiAlpha|N6_RM_Type_I|N6_RM_Type_IIG|Wadjet_I,9,1,2,13,NA,M. abscessus,massiliense,Oregon Health and Science University healthcare,USA,25,3,0.12,DCC3,NA,0,Itos|Faith1|Faith1GD69,3,NA,0,R,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,1,1,RM_Type_I,NA
GD116,TRUE,5103832,0,2,2,prophiGD116_1-1|prophiGD116_2-1,63152|54460,767110-829809|467651-521606,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,12,0,0,18,NA,M. abscessus,abscessus,National Jewish Health,NA,25,8,0.32,DCC1,HA|HD,2,Itos|D29_HRM_GD40|phiGD89A-1|phiGD21-1|Faith1|Faith1GD69|Gabriela|phiGD21-2,8,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03,2,R,FALSE,TRUE,BPs|D29,2,TRUE,TRUE,TRUE,5,5,AbiAlpha|Aristaios|CBASS|Dnd|Hna,spot_3|spot_34|spot_35|spot_49
GD117,TRUE,5100361,0,2,2,prophiGD117_1-1|prophiGD117_7-1,54460|34445,366599-420554|334456-368021,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,12,0,0,18,NA,M. abscessus,abscessus,National Jewish Health,NA,26,3,0.1154,DCC1,HD|HA,2,phiGD89A-1|D29_HRM_GD150|phiGD21-2,3,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|Itos|phiGD57-1|GD59SF/phiGD57-1|Faith1|Faith1GD69|Gabriela,8,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,TRUE,2,2,Dnd|Hna,spot_32|spot_34
GD118,TRUE,5044328,0,1,1,prophiGD118_1-1,60432,264559-324603,5,1,RM_I,AbiAlpha|Butters_gp57r|RM_Type_I|Wadjet,AbiAlpha|Butters_gp57r|N6_RM_Type_I|Wadjet_I,8,0,1,13,NA,M. abscessus,massiliense,National Jewish Health,NA,25,2,0.08,DCC3,HE,1,Muddy|Muddy_HRM-GD04,2,NA,0,R,FALSE,TRUE,Muddy,1,TRUE,TRUE,FALSE,3,3,AbiAlpha|Butters_gp57r|Wadjet,spot_36|spot_46
GD119,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,"Mt. Sinai hospital, NY",USA,25,1,0.04,NA,NA,0,Fred313_cpm1,1,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,TRUE,FALSE,0,0,NA,NA
GD12,TRUE,5098019,0,2,2,prophiGD12_27-1|prophiGD12_4-1,34445|54460,14925-48861|239627-293582,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_I_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,12,0,0,18,NA,M. abscessus,abscessus,UPMC Pittsburgh,NA,19,6,0.3158,DCC1,HA|HD,2,BPsdel33HTH_HRM10|Muddy_HRM-GD04|phiGD57-1|phiGD89A-1|phiGD21-1|GD59SF/phiGD57-1,6,Muddy,1,R,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,3,3,Aristaios|CBASS|Hna,spot_32
GD120,TRUE,5136631,1,1,1,prophiGD120_1-1,51351,771510-822713,6,0,NA,AbiAlpha|Aristaios|CBASS|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dnd_ABCDE|Hna|Wadjet_I,11,0,0,17,NA,M. abscessus,abscessus,Children’s Hospital of Philadelphia,USA,25,0,0,DCC1,HC,1,NA,0,NA,0,S,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,4,4,Aristaios|CBASS|Hna|Wadjet,spot_3|spot_32
GD121,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,25,0,0,NA,NA,0,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD121A,TRUE,5216536,0,3,3,prophiGD121A_2-1|prophiGD121A_3-1|prophiGD121A_9-1,25294|56881|36555,771721-795932|261249-316485|2095-38495,8,2,RM_II|RM_III,AbiAlpha|AbiD|Aristaios|Dnd|Hna|RM_Type_II|RM_Type_III|Wadjet,AbiAlpha|AbiD|Aristaios|Dnd_ABCDE|Hna|N6_N4_RM_Type_III|N6_RM_Type_II_PDDEXK|Wadjet_I,12,1,2,20,NA,M. abscessus,abscessus,The Children’s Hospital at Westmead,Australia,25,0,0,DCC1,HH|HG|HC,3,NA,0,NA,0,R,FALSE,NA,NA,NA,NA,NA,FALSE,4,4,AbiAlpha|Aristaios|Hna|Wadjet,spot_32|spot_38|spot_49
GD121B,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,25,0,0,NA,NA,0,NA,0,NA,0,R,FALSE,NA,NA,NA,NA,NA,FALSE,0,0,NA,NA
GD122,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Saskatchewan Health Authority,Canada,25,0,0,NA,NA,0,NA,0,NA,0,No Morphology,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,0,0,NA,NA
GD123,TRUE,5113255,0,1,1,prophiGD123-1,40551,447988-487932,4,0,NA,AbiAlpha|Butters_gp57r|Menshen|Wadjet,AbiAlpha|Butters_gp57r|Menshen|Wadjet_I,7,0,0,11,NA,M. abscessus,abscessus,The Children’s Hospital at Westmead,Australia,25,15,0.6,DCC4,HB,1,BPsdel33HTH_HRM10|BPsdel33HTH_HRM-GD03|Muddy|Muddy_HRM-GD04|ZoeJdel43-45|Fionnbharthdel45del47|CrimD del del|Adephagiadel43del45|D29_HRM_GD40|Fred313_cpm1|Isca_cpm1|phiGD89A-1|Elmo_HRMmc(2)155|MissWhite|Mufasa,15,phiGD57-1|GD59SF/phiGD57-1|D29,3,R,FALSE,TRUE,BPs|Muddy,2,TRUE,TRUE,TRUE,0,0,NA,NA
GD124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,Virginia Commonwealth University Health Health,USA,25,0,0,NA,NA,0,NA,0,ZoeJdel43-45,1,No Morphology,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD125,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,25,2,0.08,NA,NA,0,Muddy|Muddy_HRM-GD04,2,Fred313_cpm1|Isca_cpm1|phiGD21-1|Elmo_HRMmc(2)155,4,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD126,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,25,2,0.08,NA,NA,0,Muddy|Muddy_HRM-GD04,2,Fred313_cpm1|Isca_cpm1|phiGD21-1|Elmo_HRMmc(2)155,4,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD127,TRUE,4916894,0,1,1,prophiGD127_3-1,54941,759174-813983,6,1,RM_III,AbiAlpha|CBASS|RM_Type_III|RloC|RosmerTA|Wadjet,AbiAlpha|CBASS_II_Phospholipase|N6_N4_RM_Type_III|RloC|RosmerTA|Wadjet_I,12,1,1,18,NA,M. abscessus,abscessus,The Children’s Hospital at Westmead,Australia,25,2,0.08,DCC4,A1,1,Muddy|Muddy_HRM-GD04,2,Fred313_cpm1|Isca_cpm1|phiGD21-1|Elmo_HRMmc(2)155,4,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,3,3,CBASS|RosmerTA|Wadjet,spot_3|spot_66
GD128,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,25,2,0.08,NA,NA,0,Muddy|Muddy_HRM-GD04,2,Fred313_cpm1|Isca_cpm1|phiGD21-1|Elmo_HRMmc(2)155,4,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD129,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,25,2,0.08,NA,NA,0,Muddy|Muddy_HRM-GD04,2,Fred313_cpm1|Isca_cpm1|phiGD21-1|Elmo_HRMmc(2)155,4,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
GD13,TRUE,5141538,2,2,2,prophiGD13_1-1|prophiGD13_5-1,51351|58479,357893-409096|292385-349522,7,0,NA,AbiAlpha|Aristaios|CBASS|Dag|Dnd|Hna|Wadjet,AbiAlpha|Aristaios|CBASS_II_Phospholipase|Dag|Dnd_ABCDE|Hna|Wadjet_I,14,0,0,21,NA,M. abscessus,abscessus,UPMC Pittsburgh,NA,11,0,0,DCC1,HC|HA,2,NA,0,NA,0,R,FALSE,FALSE,NA,0,FALSE,FALSE,FALSE,3,3,AbiAlpha|CBASS|Dag,spot_0|spot_3
GD130,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,The Children’s Hospital at Westmead,Australia,25,2,0.08,NA,NA,0,Muddy|Muddy_HRM-GD04,2,Fred313_cpm1|Isca_cpm1|phiGD21-1|Elmo_HRMmc(2)155,4,S,FALSE,FALSE,NA,0,FALSE,TRUE,TRUE,0,0,NA,NA
